Company Name,Source URL,City,Focus Area,Notes
10X Genomics,https://biopharmguy.com/links/company-by-name-northern-california.php,Pleasanton,Genomics Platform,From BioPharmGuy Northern California directory
1Cell.Ai,https://biopharmguy.com/links/company-by-name-northern-california.php,Cupertino,Cancer Diagnostics,From BioPharmGuy Northern California directory
1cBio,https://biopharmguy.com/links/company-by-name-northern-california.php,San Francisco,Small molecule to target hypophosphatasia,From BioPharmGuy Northern California directory
3T Biosciences,https://biopharmguy.com/links/company-by-name-northern-california.php,South San Francisco,TCR Therapies,From BioPharmGuy Northern California directory
4D Molecular Therapeutics,https://biopharmguy.com/links/company-by-name-northern-california.php,Emeryville,Gene Therapy,From BioPharmGuy Northern California directory
64x Bio,https://biopharmguy.com/links/company-by-name-northern-california.php,San Francisco,High throughput discovery and design of enhanced cell lines for next-generation biomanufacturing and therapeutics,From BioPharmGuy Northern California directory
89bio,https://biopharmguy.com/links/company-by-name-northern-california.php,San Francisco,Liver Treatments,From BioPharmGuy Northern California directory
92Bio,https://biopharmguy.com/links/company-by-name-northern-california.php,Hayward,Design of multispecific biologics for the treatment of cancer,From BioPharmGuy Northern California directory
AAT Bioquest,https://biopharmguy.com/links/company-by-name-northern-california.php,Pleasanton,Bioanalytical research reagents and kits; various contract research offerings,From BioPharmGuy Northern California directory
ALLInBio,https://biopharmguy.com/links/company-by-name-northern-california.php,San Francisco,Precision Immunology,From BioPharmGuy Northern California directory
ALX Oncology,https://biopharmguy.com/links/company-by-name-northern-california.php,South San Francisco,Immuno-oncology,From BioPharmGuy Northern California directory
AN2 Therapeutics,https://biopharmguy.com/links/company-by-name-northern-california.php,Menlo Park,Novel medicines targeting infectious diseases,From BioPharmGuy Northern California directory
APstem Therapeutics,https://biopharmguy.com/links/company-by-name-northern-california.php,Fremont,Stem Cell Technology,From BioPharmGuy Northern California directory
ATUM,https://biopharmguy.com/links/company-by-name-northern-california.php,Newark,"Gene Synthesis, Protein Expression and Engineering",From BioPharmGuy Northern California directory
Aarvik Therapeutics,https://biopharmguy.com/links/company-by-name-northern-california.php,Hayward,Antibody-Drug Conjugates,From BioPharmGuy Northern California directory
Aayam Therapeutics,https://biopharmguy.com/links/company-by-name-northern-california.php,San Jose,505(b)(2),From BioPharmGuy Northern California directory
Ab Studio,https://biopharmguy.com/links/company-by-name-northern-california.php,Hayward,Antibody humanization and optimization service,From BioPharmGuy Northern California directory
AbTherx,https://biopharmguy.com/links/company-by-name-northern-california.php,Mountain View,Therapeutic Antibody Discovery,From BioPharmGuy Northern California directory
Abalone Bio,https://biopharmguy.com/links/company-by-name-northern-california.php,Emeryville,Antibody Therapies,From BioPharmGuy Northern California directory
AbboMax,https://biopharmguy.com/links/company-by-name-northern-california.php,San Jose,"Antibody, peptide, and assay product and service provider",From BioPharmGuy Northern California directory
Abbott,https://biopharmguy.com/links/company-by-name-northern-california.php,Alameda,Diabetes Care,From BioPharmGuy Northern California directory
Abcam,https://biopharmguy.com/links/company-by-name-northern-california.php,Fremont,Antibodies,From BioPharmGuy Northern California directory
Abiosciences,https://biopharmguy.com/links/company-by-name-northern-california.php,South San Francisco,"Single cell sequencing, bioinformatics, AI-aided molecular design",From BioPharmGuy Northern California directory
Abram Scientific,https://biopharmguy.com/links/company-by-name-northern-california.php,South San Francisco,Hemostasis Analysis,From BioPharmGuy Northern California directory
Accelero Biostructures,https://biopharmguy.com/links/company-by-name-northern-california.php,San Carlos,High-throughput protein X-ray crystallography-driven drug discovery and structural biology solutions,From BioPharmGuy Northern California directory
AccuraGen,https://biopharmguy.com/links/company-by-name-northern-california.php,San Jose,Liquid Cancer Biopsy,From BioPharmGuy Northern California directory
Accuray,https://biopharmguy.com/links/company-by-name-northern-california.php,Sunnyvale,Directed Radiation Therapy,From BioPharmGuy Northern California directory
Accurus Biosciences,https://biopharmguy.com/links/company-by-name-northern-california.php,Richmond,Cellular & Antibody Services,From BioPharmGuy Northern California directory
Accuryn Medical,https://biopharmguy.com/links/company-by-name-northern-california.php,Hayward,Patient monitoring systems and devices,From BioPharmGuy Northern California directory
AceLink Therapeutics,https://biopharmguy.com/links/company-by-name-northern-california.php,Newark,Clinical stage drug discovery & development company focusing on rare genetic diseases,From BioPharmGuy Northern California directory
Acelot,https://biopharmguy.com/links/company-by-name-northern-california.php,South San Francisco,Neurodegenerative Therapies,From BioPharmGuy Northern California directory
