Company Name,Address,City,Website,Focus Area
10X Genomics,,Pleasanton,www.10xgenomics.com,Genomics Platform
1cBio,,San Francisco,www.1cbio.com,Small molecule drug discovery
1Cell.Ai,,Cupertino,1cell.ai,Cancer diagnostics
3T Biosciences,,South San Francisco,3tbiosciences.com,TCR T‐cell therapies
4D Molecular Therapeutics,,Emeryville,4dmoleculartherapeutics.com,Gene therapy (AAV)
64x Bio,,San Francisco,64xbio.com,High‐throughput cell line engineering
89bio,,San Francisco,89bio.com,Liver disease treatments
92Bio,,Hayward,92biotech.com,Multispecific biologics (oncology)
Aarvik Therapeutics,,Hayward,aarviktx.com,Antibody–drug conjugates
AAT Bioquest,,Pleasanton,aatbio.com,Bioanalytical reagents & kits
Aayam Therapeutics,,San Jose,aayamtx.com,505(b)(2) drug repurposing
Ab Studio,,Hayward,antibodystudio.com,Antibody humanization services
Abalone Bio,,Emeryville,abalonebio.com,Antibody therapeutics
AbboMax,,San Jose,abbomax.com,Antibody, peptide & assay products
Abbott (Bay Area),,Alameda,abbott.com,Diabetes care products
Abcam,,Fremont,abcam.com,Antibodies & reagents
Abiosciences,,South San Francisco,abiosciences.com,Single-cell sequencing & AI design
Abram Scientific,,South San Francisco,abramscientific.com,Hemostasis diagnostic devices
AbTherx,,Mountain View,abtherx.com,Therapeutic antibody discovery
Accelero Biostructures,,San Carlos,accelerobio.com,High-throughput protein crystallography
AccuraGen,,San Jose,accuragen.com,Liquid biopsy (cancer)
Accuray,,Sunnyvale,accuray.com,Targeted radiation therapy
Accurus Biosciences,,Richmond,accurusbio.com,Cellular & antibody services
Accuryn Medical,,Hayward,accuryn.com,Patient monitoring devices
AceLink Therapeutics,,Newark,acelinktherapeutics.com,Rare disease drug development
Acelot,,South San Francisco,acelot.com,Neurodegenerative disease therapies
Acepix Biosciences,,Union City,acepixbio.com,Cell-based pathology products
Acepodia,,Alameda,acepodia.com,Antibody-cell conjugate therapy
Achelois BioPharma,,Redwood City,achelois.bio,Antiviral (“molecular velcro”)
Achira,,San Francisco,achira.ai,Atomistic simulation drug discovery
Acme Bioscience,,Palo Alto,acmeca.com,Medicinal chemistry services
Acrigen Biosciences,,Berkeley,acrigen.com,Precision gene editing (CRISPR)
Acrobat Genomics,,San Carlos,acrobatgenomics.com,CRISPR-based drug discovery
Actym Therapeutics,,Berkeley,actymthera.com,Microbial immunotherapy platform
AcureX Therapeutics,,San Carlos,acurex.com,Neurodegenerative disease treatments
Adanate,,Alameda,adanate.com,Antibody therapies
Adaptyx Biosciences,,Menlo Park,adaptyx.bio,Biosensor technology
Adari Cell Science,,Oakland,adaricell.com,Cell-based assays
Addition Therapeutics,,South San Francisco,additiontx.com,Transgene insertion (RNA-based)
Adicet Bio,,Redwood City,adicetbio.com,Immunotherapies (CAR gamma-delta T cells)
Adona Medical,,Los Gatos,adonamed.com,Heart failure device
Advanced Bifurcation Systems,,Livermore,advancedbifurcation.com,Bifurcating stent device
Advanced Cell Diagnostics,,Newark,acdbio.com,RNA in situ detection
Advanced Microbubbles,,Newark,advancedmicrobubbles.com,Ultrasound-triggered microbubbles
Advanced NanoTherapies,,Santa Clara,advancednanotherapies.com,Nanoparticle drug delivery
Advanced Process Systems,,Orinda,advancedprosystems.com,Analytical instrument calibration
Advansta,,San Jose,advansta.com,Protein characterization products
Adventris Pharmaceuticals,,San Francisco,adventris.com,Cancer immunotherapy (vaccines)
Adverum Biotechnologies,,Redwood City,adverum.com,AAV gene therapies
Aelan Cell Technologies,,San Francisco,aelanct.com,Stem cell technology
Aeovian Pharmaceuticals,,Berkeley,aeovian.com,Small-molecule therapeutics
Aequita Bioworks,,San Carlos,aequitabioworks.com,Muscle loss antibody therapies
Aerin Medical,,Mountain View,aerinmedical.com,Nasal obstruction device
Aether Biomachines,,Menlo Park,aetherbio.com,Enzyme engineering (automation)
AfaSci,,Redwood City,afasci.com,Small-molecule CNS drugs
Agilent Technologies (Bio Division),,Santa Clara,agilent.com,Lab instruments & screening
Aikium,,Berkeley,aikium.com,AI-driven drug discovery
Aizon,,San Francisco,aizon.ai,AI for pharma manufacturing
Akero Therapeutics,,South San Francisco,akerotx.com,NASH therapy
Akura Medical,,Los Gatos,akuramedical.com,Thrombectomy device (clot removal)
Alamar Biosciences,,Fremont,alamarbio.com,Proteomic liquid biopsy
Alector,,South San Francisco,alector.com,Alzheimer’s antibody therapies
Alessa Therapeutics,,San Carlos,alessatherapeutics.com,Targeted localized cancer therapy
Algen Biotechnologies,,San Francisco,algenbio.com,Gene network drug discovery
Alife,,San Francisco,alifehealth.com,AI-powered IVF solutions
Aligos Therapeutics,,South San Francisco,aligos.com,Treatments for liver & viral diseases
AliveCor,,Mountain View,kardia.com,Mobile heart monitoring (ECG)
Alixia,,San Francisco,alixia.com,Tumor immunotherapies
Alkahest,,San Carlos,alkahest.com,Anti-aging therapies (blood components)
Allay Therapeutics,,Menlo Park,allaytx.com,Localized pain management therapy
AllCells,,Alameda,allcells.com,Primary cells & biomaterials
Allelica,,San Francisco,allelica.com,Polygenic risk scoring
ALLInBio,,San Francisco,allinbio.com,Precision immunology solutions
Allogene Therapeutics,,South San Francisco,allogene.com,CAR-T cell therapies (allogeneic)
Alphalyse,,Palo Alto,alphalyse.com,Protein analysis services
Alstem,,Richmond,alstembio.com,iPSC, cell lines & cytokines
Altay Therapeutics,,San Carlos,altaytherapeutics.com,Small-molecule liver & cancer drugs
AlterG,,Fremont,alterg.com,Anti-gravity treadmill (rehab)
AltiBio,,Half Moon Bay,altibio.bio,Pharmaceutical R&D (“Drugs”)
Alto Neuroscience,,Mountain View,altoneuroscience.com,AI-driven neuro biomarkers
Altos Labs,,Redwood City,altoslabs.com,Cellular rejuvenation (aging)
AltruBio,,San Francisco,altrubio.com,Antibody therapeutics (immunology)
Altus Life Science,,San Jose,altuslifescience.com,Diagnostics & genetic testing
Aluda Pharmaceuticals,,Menlo Park,aludapharm.com,Small-molecule drug discovery
Alumis,,South San Francisco,alumis.com,Autoimmune disease therapies
Aluna,,San Francisco,alunacare.com,Digital asthma monitoring
Alveo Technologies,,Alameda,alveotechnologies.com,Diagnostic devices (infectious diseases)
ALX Oncology,,South San Francisco,alxoncology.com,Immuno-oncology (cancer)
Amador Bioscience,,Pleasanton,amadorbioscience.com,Consulting & CRO (clinical trials)
Amaros,,Menlo Park,amaros.ai,Ophthalmology data platform (AI)
