Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Apreo Health,https://apreohealth.com/,Menlo Park,,,Lung Disease Treatment,,BPG,247
Apricus Biosciences,https://www.nasdaq.com/market-activity/stocks/apri,,,,,"Apricus Biosciences, Inc. is a San Diego–based biopharmaceutical company advancing innovative medicines in urology and rheumatology.",Wikipedia,248
Apros Therapeutics,https://www.aprostx.com/,San Diego,,,Innate Immune Agonists,,BPG,249
Aqua Medical,https://aquaendoscopy.com/,Pleasanton,,,Vapor-Based Endoscopic Ablation Therapy,,BPG,254
Aquedeon Medical,https://aquedeonmedical.com/,Sunnyvale,,,Vascular Graft System,,BPG,255
Aralez Bio,https://aralezbio.com/,Berkeley,,,Noncanonical Amino Acids,,BPG,258
Arda Therapeutics,https://ardatx.com/,San Carlos,,,Pathogenic Cell Depletion via ADCs,,BPG,263
Argá Medtech,https://argamedtech.com/,San Diego,,,Cardiac Ablation System,,BPG,267
Arialys Therapeutics,https://www.arialysrx.com/,La Jolla,,,Therapies for autoimmune neuropsychiatric diseases,,BPG,268
Armonica Technologies,https://www.armonicatech.com/,Carlsbad,,,Long-read sequencing platform,,BPG,275
Array BioPharma,https://www.arraybiopharma.com/,,,,,"Array BioPharma is an American clinical stage, pharmaceutical company that focuses on oncology medication headquartered in Boulder, Colorado.",Wikipedia,277
Arriello,https://arriello.com/,South SF,,,Strategy & Regulatory Consulting,,BPG,278
Artera,https://artera.ai/,Los Altos,,,AI Diagnostics,,BPG,282
Artificial,https://artificial.com/,Palo Alto,,,AI Lab Platform,,BPG,286
Artis BioSolutions,https://artisbiosolutions.com/,San Diego,,,"CDMO - Gene Therapy, Biologics",,BPG,287
Arytha Biosciences,https://arytha.com/,San Diego,,,Biomimetic Nanoparticles,,BPG,289
Ashvattha Therapeutics,https://avttx.com/,Redwood City,,,Nanomedicine Delivery,,BPG,295
Asieris Pharmaceuticals,https://asieris.com/,Palo Alto,,,"Small Molecules, Drug-Device Comvo Product",,BPG,296
Aspa Therapeutics,https://aspatx.com/,Palo Alto,,,Gene Therapy,,BPG,298
Aspen Biosciences,https://aspenbiosciences.com/,San Diego,,,Software solutions for drug discovery and diagnostics challenges,,BPG,299
Assertio Therapeutics,http://www.depomed.com,,,,,"Assertio Therapeutics, Inc. (formerly Depomed, Inc.) is an American specialty pharmaceutical company.",Wikipedia,304
Atengen,https://atengen.com/,Los Angeles,,,"Small Molecules, Antibody Therapies",,BPG,310
Atmo Biosciences,https://atmobiosciences.com/,San Diego,,,Ingestible Capsules,,BPG,315
AtriCure,https://www.atricure.com/,Pleasanton,,,Cardiovascular Devices,,BPG,318
Atropos Therapeutics,https://www.atroposthera.com/,San Carlos,,,Small Molecules Targeting Senescence,,BPG,319
Attune Neurosciences,https://www.attuneneuro.com/,San Francisco,,,Non-invasive neurostimulation products,,BPG,321
Aubex Therapeutics,https://www.aubextherapeutics.com/,San Diego,,,Compounds directed toward the Tumor Microenvironment,,BPG,322
Aurora Microplates,https://auroramicroplates.com/,San Jose,,,Microplates,,BPG,327
AusperBio,https://ausperbio.com/,San Mateo,,,"Viral Treatments, ASO",,BPG,329
Autobahn Therapeutics,https://autobahntx.com/,San Diego,,,Remyelination program for multiple sclerosis,,BPG,331
Autonomous Medical Devices,https://amdilabs.com/,Santa Ana,,,POC Molecular Diagnostics,,BPG,332
Avax Technologies,https://www.otcmarkets.com/stock/AVXT/quote,,,,,"Avax Technologies, Inc. is a Philadelphia-based biotechnology company whose most advanced product candidate is MVax for melanoma.",Wikipedia,337
Avella Specialty Pharmacy,http://www.avella.com,,,,,"Avella Specialty Pharmacy, formerly known as The Apothecary Shops, is an American specialty pharmacy company. Avella is headquartered in Phoenix, Arizona, and has facilities in eight states. Dr.",Wikipedia,338
Avenue Biosciences,https://www.avenuebiosciences.com/,Palo Alto,,,Protein Engineering,,BPG,341
Averto Medical,https://www.avertomed.com/,Fremont,,,Ostomy Avoidance,,BPG,344
Avesta76 Therapeutics,https://www.avestabio.com/,Los Angeles,,,Cancer Therapies,,BPG,345
Avinger,https://www.lumivascular.us/,Redwood City,,,Arterial surgical devices,,BPG,347
Avvio Medical,https://avviomedical.com/,San Francisco,,,Kidney Stone Treatment,,BPG,352
Axbio,https://www.axbio.com/,Santa Clara,,,Biochips,,BPG,353
Axiom,https://axi.om/,San Francisco,,,AI Toxicity Modeling,,BPG,355
Axxin,https://www.axxin.com/,El Segundo,,,Diagnostic system,,BPG,359
Azalea Therapeutics,https://azaleatx.com/,Berkeley,,,Engineering Cells Directly Inside Each Patient,,BPG,360
Azenta Life Sciences,https://www.azenta.com/,La Jolla,,,Automation Products,,BPG,362
Azora Therapeutics,https://www.azoratherapeutics.com/,Los Angeles,,,"Novel small molecule new chemical entities for the treatment of autoimmune, inflammatory diseases",,BPG,363
BALT,https://baltgroup.com/,Irvine,,,Products for the interventional access and treatment of neurovascular diseases,,BPG,364
