Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,Company_Stage,Classifier_Date
10X Genomics,https://www.10xgenomics.com/,Pleasanton,,,Genomics Platform,,BPG,Public,2025-11-15
1Cell.Ai,https://1cell.ai/,Cupertino,,,Cancer Diagnostics,,BPG,Unknown,2025-11-15
1cBio,https://www.1cbio.com/,San Francisco,,,Small molecule to target hypophosphatasia,,BPG,Unknown,2025-11-15
3T Biosciences,https://3tbiosciences.com/,South SF,,,TCR Therapies,,BPG,Unknown,2025-11-15
4D Molecular Therapeutics,https://4dmoleculartherapeutics.com/,Emeryville,,,Gene Therapy,,BPG,Private,2025-11-15
64x Bio,https://64xbio.com/,San Francisco,,,High throughput discovery and design of enhanced cell lines for next-generation biomanufacturing and therapeutics,,BPG,Unknown,2025-11-15
858 Therapeutics,https://8five8tx.com/,San Diego,,,Precision Oncology,,BPG,Private,2025-11-15
89bio,https://89bio.com/,San Francisco,,,Liver Treatments,,BPG,Unknown,2025-11-15
92Bio,https://92biotech.com/,Hayward,,,Design of multispecific biologics for the treatment of cancer,,BPG,Unknown,2025-11-15
A2 Biotherapeutics,https://www.a2bio.com/,Agoura Hills,,,Immunotherapy,,BPG,Private,2025-11-15
A28 Therapeutics,https://a28therapeutics.com/,La Jolla,,,Targeted Lytic Peptides for the Treatment of Cancer,,BPG,Private,2025-11-15
AAA Biotech,https://www.aaabiotech.com/,La Jolla,,,"Antibodies, Proteins, ELISA kits",,BPG,Unknown,2025-11-15
AAT Bioquest,https://www.aatbio.com/,Pleasanton,,,Bioanalytical research reagents and kits; various contract research offerings,,BPG,Service,2025-11-15
ACI Medical,https://www.acimedical.com/,San Marcos,,,Arterial Assist Device,,BPG,Unknown,2025-11-15
ACON Laboratories,https://www.aconlabs.com/,San Diego,,,Diagnostics & Devices,,BPG,Service,2025-11-15
ACS Diagnostics,https://acsd4u.com/,Irvine,,,Cardiac Instrumentation,,BPG,Unknown,2025-11-15
ADARx Pharmaceuticals,https://www.adarx.com/,San Diego,,,RNA Therapeutics,,BPG,Private,2025-11-15
ADAXION Therapeutics,https://adaxiontx.com/,San Diego,,,Deimmunized Biologics,,BPG,Private,2025-11-15
ADRx,https://www.adrxpharma.com/,Thousand Oaks,,,Amyloid Treatments,,BPG,Unknown,2025-11-15
ADS Biosystems,https://adsbiosystems.com/,San Diego,,,Cancer Diagnostics,,BPG,Unknown,2025-11-15
AEON Biopharma,https://aeonbiopharma.com/,Irvine,,,Therapeutic Botulinum Toxins,,BPG,Private,2025-11-15
AG Scientific,https://agscientific.com/?SID=af66d54e78ae8bfb89810fdeda0e7f81,San Diego,,,Biomarker Preservation & Stabilizing Reagents for In-vitro Diagnostic Development,,BPG,Unknown,2025-11-15
AIVITA Biomedical,http://aivitabiomedical.com/,Irvine,,,Stem Cell Therapy,,BPG,Unknown,2025-11-15
AKSO Biopharmaceutical,https://www.aksobio.com/,Los Angeles,,,Fusion Proteins,,BPG,Private,2025-11-15
ALLInBio,https://allinbio.com/,San Francisco,,,Precision Immunology,,BPG,Unknown,2025-11-15
ALX Oncology,https://alxoncology.com/,South SF,,,Immuno-oncology,,BPG,Unknown,2025-11-15
ALZpath,https://alzpath.bio/,Carlsbad,,,Alzheimer's Diagnostic,,BPG,Unknown,2025-11-15
AM Chemicals,https://www.amchemicals.com/,Vista,,,Solid supports and reagents for robust oligonucleotide synthesis,,BPG,Unknown,2025-11-15
AN2 Therapeutics,https://www.an2therapeutics.com/,Menlo Park,,,Novel medicines targeting infectious diseases,,BPG,Private,2025-11-15
APstem Therapeutics,https://apstemtx.com/,Fremont,,,Stem Cell Technology,,BPG,Private,2025-11-15
ARIZ Precision Medicine,https://arizbio.com/,Davis,,,Small Molecules,,BPG,Unknown,2025-11-15
ARNA Genomics,https://arna.bio/,Aliso Viejo,,,Breast Cancer Diagnostic System,,BPG,Unknown,2025-11-15
ARS Pharmaceuticals,https://ars-pharma.com/,San Diego,,,Nasal Spray Epinephrine,,BPG,Private,2025-11-15
ATUM,https://www.atum.bio/,Newark,,,"Gene Synthesis, Protein Expression and Engineering",,BPG,Unknown,2025-11-15
Aanastra,https://aanastra.com/,Los Angeles,,,RNA therapeutics,,BPG,Unknown,2025-11-15
