Company Name,Website,City,Address,Company Stage,Company_Stage_Classified,Focus Areas,Focus_Areas_Enhanced,Description,Description_Enhanced,Google_Name,Google_Address,Google_Website,Latitude,Longitude,Confidence_Score,Validation_Source,Classifier_Date
10X Genomics,https://www.10xgenomics.com/,Pleasanton,"6230 Stoneridge Mall Rd, Pleasanton, CA 94588, USA",,Public,Genomics Platform,,,,10x Genomics Headquarters,"6230 Stoneridge Mall Rd, Pleasanton, CA 94588, USA",https://10xgenomics.com/,37.6943023,-121.9212663,0.9584,BPG,2025-11-15
1Cell.Ai,https://1cell.ai/,Cupertino,"320 Hatch Dr, Foster City, CA 94404, USA",,Unknown,Cancer Diagnostics,,,,1Cell.ai,"320 Hatch Dr, Foster City, CA 94404, USA",https://1cell.ai/,37.567417,-122.2747414,0.9999999999999999,BPG,2025-11-15
1cBio,https://www.1cbio.com/,San Francisco,,,Unknown,Small molecule to target hypophosphatasia,,,,,,,,,,BPG,2025-11-15
3T Biosciences,https://3tbiosciences.com/,South SF,"230 E Grand Ave. a, South San Francisco, CA 94080, USA",,Unknown,TCR Therapies,,,,3T Biosciences,"230 E Grand Ave. a, South San Francisco, CA 94080, USA",http://3tbiosciences.com/,37.6536246,-122.3976712,0.9999999999999999,BPG,2025-11-15
4D Molecular Therapeutics,https://4dmoleculartherapeutics.com/,Emeryville,"5858 Horton St #455, Emeryville, CA 94608, USA",,Private,Gene Therapy,,,,4D Molecular Therapeutics,"5858 Horton St #455, Emeryville, CA 94608, USA",http://www.4dmoleculartherapeutics.com/,37.8401509,-122.2906863,0.9999999999999999,BPG,2025-11-15
64x Bio,https://64xbio.com/,San Francisco,,,Unknown,High throughput discovery and design of enhanced cell lines for next-generation biomanufacturing and therapeutics,,,,,,,,,,BPG,2025-11-15
858 Therapeutics,https://8five8tx.com/,San Diego,,,Private,Precision Oncology,,,,,,,,,,BPG,2025-11-15
89bio,https://89bio.com/,San Francisco,"655 Montgomery St 15th Floor, San Francisco, CA 94111, USA",,Unknown,Liver Treatments,,,,"89 Bio, Inc.","655 Montgomery St 15th Floor, San Francisco, CA 94111, USA",https://www.89bio.com/,37.7952699,-122.4035731,0.936,BPG,2025-11-15
92Bio,https://92biotech.com/,Hayward,,,Unknown,Design of multispecific biologics for the treatment of cancer,,,,,,,,,,BPG,2025-11-15
A2 Biotherapeutics,https://www.a2bio.com/,Agoura Hills,,,Private,Immunotherapy,,,,,,,,,,BPG,2025-11-15
A28 Therapeutics,https://a28therapeutics.com/,La Jolla,,,Private,Targeted Lytic Peptides for the Treatment of Cancer,,,,,,,,,,BPG,2025-11-15
AAA Biotech,https://www.aaabiotech.com/,La Jolla,,,Unknown,"Antibodies, Proteins, ELISA kits",,,,,,,,,,BPG,2025-11-15
AAT Bioquest,https://www.aatbio.com/,Pleasanton,"5775 W Las Positas Blvd, Pleasanton, CA 94588, USA",,Service,Bioanalytical research reagents and kits; various contract research offerings,,,,"AAT Bioquest, Inc.","5775 W Las Positas Blvd, Pleasanton, CA 94588, USA",http://www.aatbio.com/,37.6859291,-121.8927876,0.9999999999999999,BPG,2025-11-15
ACI Medical,https://www.acimedical.com/,San Marcos,"1857 Diamond St # A, San Marcos, CA 92078, USA",,Unknown,Arterial Assist Device,,,,"ACI Medical, LLC","1857 Diamond St # A, San Marcos, CA 92078, USA",http://acimedical.com/,33.1044269,-117.2171986,0.9999999999999999,BPG,2025-11-15
ACON Laboratories,https://www.aconlabs.com/,San Diego,"9440 Carroll Park Dr, San Diego, CA 92121, USA",,Service,Diagnostics & Devices,,,,ACON Laboratories Inc,"9440 Carroll Park Dr, San Diego, CA 92121, USA",http://aconlabs.com/,32.88729,-117.1729834,0.9999999999999999,BPG,2025-11-15
ACS Diagnostics,https://acsd4u.com/,Irvine,"25651 Atlantic Ocean Ste. A15, Lake Forest, 926301 Hughes, Irvine, CA 92618, USA",,Unknown,Cardiac Instrumentation,,,,"ACS Diagnostics, Inc.","25651 Atlantic Ocean Ste. A15, Lake Forest, 926301 Hughes, Irvine, CA 92618, USA",https://acsd4u.com/,33.6668249,-117.6829927,0.9999999999999999,BPG,2025-11-15
ACT Biotech Inc,http://actbiotech.com/,,"717 Market St, San Francisco, CA 94103, USA",,Unknown,,,"ACT Biotech Inc is a San Francisco-based, privately held biopharmaceutical company focused on the development and commercialization of targeted cancer drugs. It was founded in 2008.","ACT Biotech Inc is a San Francisco-based, privately held biopharmaceutical company focused on the development and commercialization of targeted cancer drugs. It was founded in 2008.",Act Biotech,"717 Market St, San Francisco, CA 94103, USA",http://www.actbiotech.com/,37.7868614,-122.4036958,0.9999999999999999,Wikipedia,
ADARx Pharmaceuticals,https://www.adarx.com/,San Diego,"5871 Oberlin Dr Suite 200, San Diego, CA 92121, USA",,Private,RNA Therapeutics,,,,"ADARx Pharmaceuticals, Inc.","5871 Oberlin Dr Suite 200, San Diego, CA 92121, USA",https://www.adarx.com/,32.89509960000001,-117.1921234,0.9999999999999999,BPG,2025-11-15
ADAXION Therapeutics,https://adaxiontx.com/,San Diego,,,Private,Deimmunized Biologics,,,,,,,,,,BPG,2025-11-15
ADRx,https://www.adrxpharma.com/,Thousand Oaks,"515 Marin St, Thousand Oaks, CA 91360, USA",,Unknown,Amyloid Treatments,,,,"ADRx, Inc.","515 Marin St, Thousand Oaks, CA 91360, USA",http://adrxpharma.com/,34.1843556,-118.8817294,0.9999999999999999,BPG,2025-11-15
ADS Biosystems,https://adsbiosystems.com/,San Diego,"5820 Oberlin Dr STE 104, San Diego, CA 92121, USA",,Unknown,Cancer Diagnostics,,,,Ads Biosystems inc.,"5820 Oberlin Dr STE 104, San Diego, CA 92121, USA",,32.893965,-117.1940942,0.7999999999999999,BPG,2025-11-15
