Company Name,Website,City,Address,Company Stage,Focus Areas,Validation_Source
10X Genomics,https://www.10xgenomics.com,Pleasanton,,,Genomics Platform,BPG
1Cell.Ai,https://1cell.ai,Cupertino,"20380 Town Center Lane, Suite 218, Cupertino, CA 95014",Pre-clinical/Startup,Cancer diagnostics,Existing
1cBio,https://www.1cbio.com,San Francisco,"300 Utah Ave Suite 210, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Small molecule drug discovery,Existing
23andMe,https://www.23andme.com,South San Francisco,"349 Oyster Point Blvd, South San Francisco, CA 94080",Commercial-Stage Biotech,Human genetics and therapeutics. Primarily genomics and computational biology; potential for target discovery roles.,Existing
3T Biosciences,https://3tbiosciences.com,South San Francisco,"230 East Grand Ave, Suite 150, South San Francisco, CA 94080",Pre-clinical/Startup,TCR target discovery platform (3T-TRACE™) using computation and experimentation. Strong protein-protein interaction focus.,Existing
4D Molecular Therapeutics,https://www.4dmoleculartherapeutics.com,Emeryville,"5858 Horton Street, Suite 455, Emeryville, CA 94608",Clinical-Stage Biotech,"AAV gene therapy; capsid engineering.
Engineered viral capsids & delivery; protein design/structural virology relevant.",Existing
64x Bio,https://64xbio.com,San Francisco,"409 Illinois Street, San Francisco, CA 94158",Pre-clinical/Startup,High-throughput cell line engineering,Existing
89bio,https://89bio.com,San Francisco,"655 Montgomery Street, Suite 1500, San Francisco, CA 94111",Clinical-Stage Biotech,Engineered FGF21 analog (pegozafermin) for liver and cardiometabolic diseases. Biologic drug development.,Existing
92Bio,https://92biotech.com,Hayward,"1190 Zephyr Ave, Suite A, Hayward, CA 94544",Pre-clinical/Startup,Multispecific biologics (oncology),Existing
AAT Bioquest,https://aatbio.com,Pleasanton,"5775 W Las Positas Blvd., Pleasanton, CA 94588",Tools/Services/CDMO,Bioanalytical reagents & kits,Existing
ALLInBio,https://allinbio.com,San Francisco,"3445 Woodside Road, Woodside, CA 94062",Pre-clinical/Startup,Precision immunology solutions,Existing
ALX Oncology,https://alxoncology.com,South San Francisco,"323 Allerton Avenue, South San Francisco, CA 94080",Clinical-Stage Biotech,Immuno-oncology (cancer),Existing
AN2 Therapeutics,https://an2therapeutics.com,Menlo Park,"1300 El Camino Real, Suite 100, Menlo Park, CA 94025",Clinical-Stage Biotech,Infectious disease therapeutics,Existing
APstem Therapeutics,https://apstemtx.com,Fremont,"48371 Fremont Blvd, Suite 103, Fremont, CA 94538",Pre-clinical/Startup,Stem cell therapies,Existing
ARMO BioSciences,https://www.lilly.com,Redwood City,"575 Chesapeake Drive, Redwood City, CA 94063",Acquired,Immuno-oncology company developing cytokine-based therapies. Acquired by Eli Lilly.,Existing
