Company Name,Website,City,Primary Scientific Focus,Relevance to Profile,Company Stage,Notes,Hiring,Source
Acepodia,,Alameda,Antibody-Cell Conjugation (ACC™) Technology,Tier 1,Clinical-Stage Biotech,,,User Paste
Adanate,,Alameda,Antibody Therapeutics for Immuno-oncology,Tier 2,Clinical-Stage Biotech,,,User Paste
AllCells,,Alameda,Cell & Gene Therapy Starting Materials,Tier 3,Tools/Services/CDMO,,,User Paste
AllCells,https://www.allcells.com,Alameda,Human primary cells for CGT,,,Supports cell therapy R&D; GMP-adjacent lab operations.,,"Assistant Table, User CSV"
Apertor Pharmaceuticals,,Alameda,"Molecular Glues, Protein-Protein Interaction Disruption",Tier 2,Pre-clinical/Startup,,,User Paste
CellFE,,Alameda,Microfluidics for Intracellular Delivery,Tier 2,Pre-clinical/Startup,,,User Paste
Exelixis,https://www.exelixis.com,Alameda,Oncology Drug Development (Small Molecule & Biologics),Tier 2,Commercial-Stage Biotech,Oncology drug developer; small-molecule discovery/dev,,"Assistant Table, User CSV, User Paste"
GeneFab,,Alameda,CRDMO for Cell & Gene Therapies,Tier 3,Tools/Services/CDMO,,,User Paste
Ohmic Biosciences,,Alameda,Protein Engineering for Crop Disease Resistance,Tier 1,Pre-clinical/Startup,,,User Paste
Santa Ana Bio,,Alameda,"Precision Immunology, Antibody Engineering",Tier 2,Pre-clinical/Startup,,,User Paste
Scribe Therapeutics,https://www.scribetx.com,Alameda,CRISPR Enzyme Engineering for In Vivo Therapies,Tier 1,Pre-clinical/Startup,Protein engineering of nucleases; strong structural fit.,,"Assistant Table, User CSV, User Paste"
USDA-ARS WRRC,,Albany,"Agricultural Research, Protein Chemistry, Enzymes",Tier 1,Academic/Gov't,,,User Paste
Acrigen Biosciences,,Berkeley,"Precision CRISPR Gene Editing, Anti-CRISPR Proteins",Tier 1,Pre-clinical/Startup,,,User Paste
Actym Therapeutics,,Berkeley,Microbial-based Immunotherapy Platform,Tier 2,Pre-clinical/Startup,,,User Paste
Addition Therapeutics,,Berkeley,RNA-mediated Transgene Insertion,Tier 2,Pre-clinical/Startup,,,User Paste
Amber Bio,,Berkeley,"RNA Writing, Multi-kilobase Gene Editing",Tier 2,Pre-clinical/Startup,,,User Paste
Bayer-Berkeley Biotech Campus,https://www.bayer.com,Berkeley,Biologics manufacturing; hemophilia therapy,,,Biologics & CGT; process/analytical development,,"Assistant Table, User CSV"
Bayer-Berkeley Campus,,Berkeley,"Biologics, Cell & Gene Therapy, Manufacturing",Tier 2,Large Pharma,,,User Paste
Caribou Biosciences,https://www.cariboubio.com,Berkeley,Next-Gen CRISPR Allogeneic Cell Therapies,Tier 1,Clinical-Stage Biotech,Cas protein engineering & genome editing; strong structural biology links.,,"Assistant Table, User CSV, User Paste"
Catena Biosciences,https://www.catenabio.com,Berkeley,Protein conjugation therapeutics (ADCs),,,Engineered enzyme for site-specific conjugation; structural enzymology fit.,,Assistant Table
Glyphic Biotechnologies,,Berkeley,Single-Molecule Protein Sequencing Platform,Tier 1,Pre-clinical/Startup,,,User Paste
Indee Labs,,Berkeley,Microfluidics for Intracellular Delivery,Tier 2,Pre-clinical/Startup,,,User Paste
Innovative Genomics Institute (IGI),,Berkeley,CRISPR/Genomics Research Institute,Tier 1,Academic/Gov't,,,User Paste
Kimia Therapeutics,,Berkeley,AI/ML Drug Discovery Platform,Tier 2,Pre-clinical/Startup,,,User Paste
LBNL-Advanced Light Source (ALS),,Berkeley,Synchrotron for Structural Biology,Tier 1,Academic/Gov't,,,User Paste
Lygos,https://www.lygos.com,Berkeley,Industrial biotech; enzyme engineering,,,Metabolic pathway & enzyme optimization; fermentation.,,Assistant Table
Nanotein,,Berkeley,Protein-based Reagents for Cell Therapy,Tier 1,Pre-clinical/Startup,,,User Paste
Pivot Bio,https://www.pivotbio.com,Berkeley,"Engineered Microbes, Computational Protein Design",Tier 1,Commercial-Stage Biotech,Engineered microbes; computational protein/genome design,,"Assistant Table, User CSV, User Paste"
Prellis Biologics,,Berkeley,"3D Organoids for Antibody Discovery, AI",Tier 1,Pre-clinical/Startup,,,User Paste
Ray Therapeutics,,Berkeley,"Optogenetic Gene Therapy, Protein Engineering",Tier 1,Pre-clinical/Startup,,,User Paste
Regel Therapeutics,,Berkeley,"Targeted EpiEditing, dCAS Fusion Proteins",Tier 1,Pre-clinical/Startup,,,User Paste
ResVita Bio,,Berkeley,"Engineered Skin Probiotics, Protein Delivery",Tier 1,Pre-clinical/Startup,,,User Paste
Sampling Human,,Berkeley,"Synthetic Biology, Single-Cell Biomarkers",Tier 2,Pre-clinical/Startup,,,User Paste
Valitor,,Berkeley,"Protein Therapeutics, Multivalent Biopolymers",Tier 1,Pre-clinical/Startup,,,User Paste
Cerus Corporation,https://www.cerus.com,Concord,Blood safety; pathogen inactivation,,,Biochemistry & immunology; product development & GMP.,,"Assistant Table, User CSV"
4D Molecular Therapeutics,,Emeryville,"AAV Capsid Engineering, Gene Therapy",Tier 1,Clinical-Stage Biotech,,,User Paste
4D Molecular Therapeutics,https://www.4dmoleculartherapeutics.com,Emeryville,AAV gene therapy; capsid engineering,,,Engineered viral capsids & delivery; protein design/structural virology relevant.,,Assistant Table
Abalone Bio,,Emeryville,"Functional Antibody Discovery for GPCRs, AI",Tier 1,Pre-clinical/Startup,,,User Paste
Ansa Biotechnologies,https://www.ansabio.com,Emeryville,"Enzymatic DNA Synthesis, Enzyme Engineering",Tier 1,Pre-clinical/Startup,Enzyme engineering & computational chemistry; direct protein engineering relevance.,,"Assistant Table, User CSV, User Paste"
Arcadia Science,https://www.arcadiascience.com,Emeryville,"Discovery Biology, Open Science Platform",Tier 2,Non-Profit/Research,Discovery biology + toolkits; computational/structural adjacent,,"Assistant Table, User CSV, User Paste"
Bolt Threads,https://boltthreads.com,Emeryville,Biomaterials; recombinant silk proteins,,,Fermentation scale protein expression & engineering.,,Assistant Table
Catalent (SMARTag®),,Emeryville,"Antibody-Drug Conjugates (ADCs), Bioconjugation",Tier 1,Tools/Services/CDMO,,,User Paste
Dynavax Technologies,https://www.dynavax.com,Emeryville,"Vaccines, TLR Agonists, Immunology",Tier 3,Commercial-Stage Biotech,Adjuvant biology; protein production for vaccine antigens.,,"Assistant Table, User CSV, User Paste"
Eureka Therapeutics,https://www.eurekatherapeutics.com,Emeryville,"T-Cell Therapies, Antibody Discovery, Structural Bio",Tier 1,Clinical-Stage Biotech,T-cell therapies/antibody discovery; structural/biochem,,"Assistant Table, User CSV, User Paste"
Ginkgo Bioworks-Foundry West,https://www.ginkgobioworks.com,Emeryville,High-Throughput Organism Engineering,Tier 1,Commercial-Stage Biotech,High-throughput protein expression & computational design.,,"Assistant Table, User CSV, User Paste"
Gritstone bio,https://www.gritstonebio.com,Emeryville,"Immuno-oncology, AI-based Antigen Discovery",Tier 2,Clinical-Stage Biotech,Immuno-oncology/infectious disease; AI + antigen discovery,,"Assistant Table, User CSV, User Paste"
JBEI / ABPDU,,Emeryville,"Synthetic Biology, Biofuels, Process Scale-up",Tier 1,Academic/Gov't,,,User Paste
Kyverna Therapeutics,https://www.kyvernatx.com,Emeryville,Autoimmune cell therapy (CAR-Treg),,,Gene & protein engineering; translational cell therapy.,,Assistant Table
"Novartis (NIBR, Emeryville)",https://www.novartis.com,Emeryville,Infectious disease & global health R&D,,,Multidisciplinary drug discovery; potential structural biology roles.,,Assistant Table
Nutcracker Therapeutics,https://www.nutcrackerx.com,Emeryville,mRNA therapeutics platform,,,Protein/RNA engineering & automated GMP workflows.,,Assistant Table
OmniAb,,Emeryville,Transgenic Platforms for Antibody Discovery,Tier 2,Tools/Services/CDMO,,,User Paste
Profluent,,Emeryville,"AI-first Protein Design, Generative Models",Tier 1,Pre-clinical/Startup,,,User Paste
Prolific Machines,,Emeryville,Optogenetic Control of Protein Production,Tier 1,Pre-clinical/Startup,,,User Paste
Santen Inc. (Ophthalmology),https://www.santen.com,Emeryville,Ophthalmic pharmaceuticals,,,Biologics & drug delivery; regulated development.,,Assistant Table
XOMA,https://www.xoma.com,Emeryville,Royalty aggregator; legacy antibody discovery,,,Minimal in-house R&D today; historic protein engineering expertise.,,Assistant Table
Ardelyx,https://www.ardelyx.com,Fremont,Small-molecule therapeutics (GI/kidney),,,Structure-based drug design potential; pharma development alignment.,,"Assistant Table, User CSV"
Eikon Therapeutics,https://www.eikontx.com,Hayward,Live-cell single-molecule imaging drug discovery,,,Protein dynamics & quantitative imaging; structural insights valuable.,,"Assistant Table, User CSV"
Lonza (Hayward),https://www.lonza.com,Hayward,CDMO; biologics & CGT manufacturing,,,CDMO; biologics/cell & gene therapy manufacturing,,"Assistant Table, User CSV"
Bio-Rad Laboratories,https://www.bio-rad.com,Hercules,Life-science instruments & diagnostics,,,Protein analytics/tools used by structural biologists; product development roles.,,"Assistant Table, User CSV"
ATUM (DNA2.0),https://www.atum.bio,Newark,Synthetic biology CRO; protein design,,,"Core protein engineering, expression & purification workflows.",,Assistant Table
Phyllom BioProducts Corp.,,Oakland,"Microbial Biopesticides, Protein Engineering",Tier 2,Commercial-Stage Biotech,,,User Paste
UCSF Benioff-CHORI,,Oakland,"Translational Pediatric Research, Core Facilities",Tier 2,Academic/Gov't,,,User Paste
10x Genomics,https://www.10xgenomics.com,Pleasanton,Single-cell & spatial genomics tools,,,Advanced instruments & computational biology platform; strong data & protein analysis tie-ins.,,"Assistant Table, User CSV"
Unchained Labs,https://www.unchainedlabs.com,Pleasanton,Biologics analytics instruments,,,Protein stability & characterization tools; applications science roles.,,"Assistant Table, User CSV"
ABPDU-Advanced Biofuels & Bioproducts Process Dev. Unit,,,,,,Scale-up/process; fermentation and downstream,,User CSV
ATUM (formerly DNA2.0),,,,,,Gene & protein design/synthesis; enzyme engineering,,User CSV
DOE Joint Genome Institute (JGI),,,,,,Large-scale genomics; comp biology & sequencing,,User CSV
Innovative Genomics Institute (IGI)-UC Berkeley,,,,,,CRISPR/genomics institute; comp bio + translational,,User CSV
JBEI-Joint BioEnergy Institute,,,,,,Synbio/enzymes; high-throughput strain/protein work,,User CSV
Lawrence Berkeley National Lab-Advanced Light Source (ALS),,,,,,Synchrotron for structural biology/imaging,,User CSV
"Santen, Inc.-US Innovation Center",,,,,,Ophthalmology drug development; translational,,User CSV
UC Berkeley-Hurley Lab (MCB),,,,,,"Membrane trafficking, autophagy, ESCRT; structural biochem",,User CSV
UCSF Benioff Children’s Hospital Oakland-CHORI,,,,,,Translational biology; proteomics/genomics cores,,User CSV
USDA-ARS Western Regional Research Center (WRRC),,,,,,Protein chemistry/enzymes; comp/analytical methods,,User CSV
XOMA Royalty Corp.,,,,,,Antibody/biologics royalty aggregator; legacy protein eng,,User CSV
