Company Name,Website,City,Relevance to Profile,Company Stage,Notes,Hiring
10x Genomics,https://www.10xgenomics.com,Pleasanton,Tier 3,Commercial-Stage Biotech,Single-cell & spatial genomics tools. Advanced instruments & computational biology platform; strong data & protein analysis tie-ins.,
4D Molecular Therapeutics,https://www.4dmoleculartherapeutics.com,Emeryville,Tier 1,Clinical-Stage Biotech,AAV gene therapy; capsid engineering. Engineered viral capsids & delivery; protein design/structural virology relevant.,
Abalone Bio,https://www.abalonebio.com,Emeryville,Tier 2,Pre-clinical/Startup,Functional Antibody Discovery for GPCRs & AI,
Advanced Biofuels and Bioproducts Process Development Unit,https://abpdu.lbl.gov,Emeryville,Tier 2,Academic/Gov't,Scale-up/process; fermentation and downstream,
Acepodia,https://www.acepodia.com,Alameda,Tier 2,Clinical-Stage Biotech,Antibody-Cell Conjugation (ACC™) Technology,
Acrigen Biosciences,https://www.acrigen.com,Berkeley,Tier 1,Pre-clinical/Startup,Precision CRISPR Gene Editing & Anti-CRISPR Proteins,
Actym Therapeutics,https://www.actym.com,Berkeley,Tier 2,Pre-clinical/Startup,Microbial-based Immunotherapy Platform,
Adanate,https://www.adanate.com,Alameda,Tier 2,Clinical-Stage Biotech,Antibody Therapeutics for Immuno-oncology,
Addition Therapeutics,https://www.additiontx.com,Berkeley,Tier 2,Pre-clinical/Startup,RNA-mediated Transgene Insertion,
AllCells,https://www.allcells.com,Alameda,Tier 3,Tools/Services/CDMO,Human primary cells for CGT. Supports cell therapy R&D; GMP-adjacent lab operations.,
Amber Bio,https://www.amberbio.com,Berkeley,Tier 2,Pre-clinical/Startup,RNA Writing & Multi-kilobase Gene Editing,
Ansa Biotechnologies,https://www.ansabio.com,Emeryville,Tier 1,Pre-clinical/Startup,Enzymatic DNA Synthesis & Enzyme Engineering. Enzyme engineering & computational chemistry; direct protein engineering relevance.,
Apertor Pharmaceuticals,https://www.apertorpharma.com,Alameda,Tier 1,Pre-clinical/Startup,Molecular Glues & Protein-Protein Interaction Disruption,
Arcadia Science,https://www.arcadiascience.com,Emeryville,Tier 2,Non-Profit/Research,Discovery Biology & Open Science Platform. Discovery biology + toolkits; computational/structural adjacent,
Ardelyx,https://www.ardelyx.com,Fremont,Tier 3,Commercial-Stage Biotech,Small-molecule therapeutics (GI/kidney). Structure-based drug design potential; pharma development alignment.,
ATUM,https://www.atum.bio,Newark,Tier 1,Tools/Services/CDMO,Gene & protein design/synthesis; enzyme engineering. Core protein engineering & expression & purification workflows.,
Bayer,https://www.bayer.com,Berkeley,Tier 2,Large Pharma,Biologics & Cell & Gene Therapy & Manufacturing. Biologics & CGT; process/analytical development,
Bio-Rad Laboratories,https://www.bio-rad.com,Hercules,Tier 3,Commercial-Stage Biotech,Life-science instruments & diagnostics. Protein analytics/tools used by structural biologists; product development roles.,
