Company Name,Website,City,Primary Scientific Focus,Relevance to Profile,Company Stage,Notes,Hiring
10x Genomics,https://www.10xgenomics.com,Pleasanton,Single-cell & spatial genomics tools,Tier 3,Commercial-Stage Biotech,Advanced instruments & computational biology platform; strong data & protein analysis tie-ins.,
4D Molecular Therapeutics,https://www.4dmoleculartherapeutics.com,Emeryville,AAV gene therapy; capsid engineering,Tier 1,Clinical-Stage Biotech,Engineered viral capsids & delivery; protein design/structural virology relevant.,
Abalone Bio,https://www.abalonebio.com,Emeryville,Functional Antibody Discovery for GPCRs & AI,Tier 2,Pre-clinical/Startup,,
Advanced Biofuels and Bioproducts Process Development Unit,https://abpdu.lbl.gov,Emeryville,Scale-up/process; fermentation and downstream,Tier 2,Academic/Gov't,,
Acepodia,https://www.acepodia.com,Alameda,Antibody-Cell Conjugation (ACC™) Technology,Tier 2,Clinical-Stage Biotech,,
Acrigen Biosciences,https://www.acrigen.com,Berkeley,Precision CRISPR Gene Editing & Anti-CRISPR Proteins,Tier 1,Pre-clinical/Startup,,
Actym Therapeutics,https://www.actym.com,Berkeley,Microbial-based Immunotherapy Platform,Tier 2,Pre-clinical/Startup,,
Adanate,https://www.adanate.com,Alameda,Antibody Therapeutics for Immuno-oncology,Tier 2,Clinical-Stage Biotech,,
Addition Therapeutics,https://www.additiontx.com,Berkeley,RNA-mediated Transgene Insertion,Tier 2,Pre-clinical/Startup,,
AllCells,https://www.allcells.com,Alameda,Human primary cells for CGT,Tier 3,Tools/Services/CDMO,Supports cell therapy R&D; GMP-adjacent lab operations.,
Amber Bio,https://www.amberbio.com,Berkeley,RNA Writing & Multi-kilobase Gene Editing,Tier 2,Pre-clinical/Startup,,
Ansa Biotechnologies,https://www.ansabio.com,Emeryville,Enzymatic DNA Synthesis & Enzyme Engineering,Tier 1,Pre-clinical/Startup,Enzyme engineering & computational chemistry; direct protein engineering relevance.,
Apertor Pharmaceuticals,https://www.apertorpharma.com,Alameda,Molecular Glues & Protein-Protein Interaction Disruption,Tier 1,Pre-clinical/Startup,,
Arcadia Science,https://www.arcadiascience.com,Emeryville,Discovery Biology & Open Science Platform,Tier 2,Non-Profit/Research,Discovery biology + toolkits; computational/structural adjacent,
Ardelyx,https://www.ardelyx.com,Fremont,Small-molecule therapeutics (GI/kidney),Tier 3,Commercial-Stage Biotech,Structure-based drug design potential; pharma development alignment.,
ATUM,https://www.atum.bio,Newark,Gene & protein design/synthesis; enzyme engineering,Tier 1,Tools/Services/CDMO,Core protein engineering & expression & purification workflows.,
Bayer,https://www.bayer.com,Berkeley,Biologics & Cell & Gene Therapy & Manufacturing,Tier 2,Large Pharma,Biologics & CGT; process/analytical development,
Bio-Rad Laboratories,https://www.bio-rad.com,Hercules,Life-science instruments & diagnostics,Tier 3,Commercial-Stage Biotech,Protein analytics/tools used by structural biologists; product development roles.,
Bolt Threads,https://boltthreads.com,Emeryville,Biomaterials; recombinant silk proteins,Tier 1,Commercial-Stage Biotech,Fermentation scale protein expression & engineering.,
Caribou Biosciences,https://www.cariboubio.com,Berkeley,Next-Gen CRISPR Allogeneic Cell Therapies,Tier 1,Clinical-Stage Biotech,Cas protein engineering & genome editing; strong structural biology links.,
Catalent,https://www.catalent.com,Emeryville,Antibody-Drug Conjugates (ADCs) & Bioconjugation,Tier 2,Tools/Services/CDMO,,
Catena Biosciences,https://www.catenabio.com,Berkeley,Protein conjugation therapeutics (ADCs),Tier 1,Clinical-Stage Biotech,Engineered enzyme for site-specific conjugation; structural enzymology fit.,
CellFE,https://www.cellfe.com,Alameda,Microfluidics for Intracellular Delivery,Tier 2,Pre-clinical/Startup,,
Cerus Corporation,https://www.cerus.com,Concord,Blood safety; pathogen inactivation,Tier 3,Commercial-Stage Biotech,Biochemistry & immunology; product development & GMP.,
Joint Genome Institute,https://jgi.doe.gov,Berkeley,Large-scale genomics; comp biology & sequencing,Tier 3,Academic/Gov't,,
Dynavax Technologies,https://www.dynavax.com,Emeryville,Vaccines & TLR Agonists & Immunology,Tier 3,Commercial-Stage Biotech,Adjuvant biology; protein production for vaccine antigens.,
Eikon Therapeutics,https://www.eikontx.com,Hayward,Live-cell single-molecule imaging drug discovery,Tier 1,Clinical-Stage Biotech,Protein dynamics & quantitative imaging; structural insights valuable.,
Eureka Therapeutics,https://www.eurekatherapeutics.com,Emeryville,T-Cell Therapies & Antibody Discovery & Structural Bio,Tier 1,Clinical-Stage Biotech,T-cell therapies/antibody discovery; structural/biochem,
Exelixis,https://www.exelixis.com,Alameda,Oncology Drug Development (Small Molecule & Biologics),Tier 2,Commercial-Stage Biotech,Oncology drug developer; small-molecule discovery/dev,
