Company Name,Website,City,Address,Relevance to Profile,Company Stage,Notes,Hiring
10x Genomics,https://www.10xgenomics.com,Pleasanton,"6230 Stoneridge Mall Road, Pleasanton, CA 94588",Tier 3,Commercial-Stage Biotech,Single-cell & spatial genomics tools. Advanced instruments & computational biology platform; strong data & protein analysis tie-ins.,
4D Molecular Therapeutics,https://www.4dmoleculartherapeutics.com,Emeryville,"5858 Horton Street, Suite 455, Emeryville, CA 94608",Tier 1,Clinical-Stage Biotech,AAV gene therapy; capsid engineering. Engineered viral capsids & delivery; protein design/structural virology relevant.,
Abalone Bio,https://www.abalonebio.com,Emeryville,"1250 45th St, Suite 520, Emeryville, CA 94608",Tier 2,Pre-clinical/Startup,Functional Antibody Discovery for GPCRs & AI,
Advanced Biofuels and Bioproducts Process Development Unit,https://abpdu.lbl.gov,Emeryville,"5885 Hollis St, Emeryville, CA 94608",Tier 2,Academic/Gov't,Scale-up/process; fermentation and downstream,
Acepodia,https://www.acepodia.com,Alameda,"1600 Harbor Bay Pkwy, Suite 140, Alameda, CA 94502",Tier 2,Clinical-Stage Biotech,Antibody-Cell Conjugation (ACC™) Technology,
Acrigen Biosciences,https://www.acrigen.com,Berkeley,"626 Bancroft Way, Berkeley, CA 94702",Tier 1,Pre-clinical/Startup,Precision CRISPR Gene Editing & Anti-CRISPR Proteins,
Actym Therapeutics,https://www.actym.com,Berkeley,"626 Bancroft Way, Suite A, Berkeley, CA 94710",Tier 2,Pre-clinical/Startup,Microbial-based Immunotherapy Platform,
Adanate,https://www.adanate.com,Alameda,"1010 Atlantic Avenue, Suite 102, Alameda, CA 94501",Tier 2,Clinical-Stage Biotech,Antibody Therapeutics for Immuno-oncology,
Addition Therapeutics,https://www.additiontx.com,Berkeley,"Berkeley, CA",Tier 2,Pre-clinical/Startup,RNA-mediated Transgene Insertion,
AllCells,https://www.allcells.com,Alameda,"1301 Harbor Bay Pkwy, Suite 200, Alameda, CA 94502",Tier 3,Tools/Services/CDMO,Human primary cells for CGT. Supports cell therapy R&D; GMP-adjacent lab operations.,
Amber Bio,https://www.amberbio.com,Berkeley,"Berkeley, CA",Tier 2,Pre-clinical/Startup,RNA Writing & Multi-kilobase Gene Editing,
Ansa Biotechnologies,https://www.ansabio.com,Emeryville,"1198 65th Street, Suite 250, Emeryville, CA 94608",Tier 1,Pre-clinical/Startup,Enzymatic DNA Synthesis & Enzyme Engineering. Enzyme engineering & computational chemistry; direct protein engineering relevance.,
Apertor Pharmaceuticals,https://www.apertorpharma.com,Alameda,"1640 South Loop Road, Suite 200, Alameda, CA 94502",Tier 1,Pre-clinical/Startup,Molecular Glues & Protein-Protein Interaction Disruption,
Arcadia Science,https://www.arcadiascience.com,Emeryville,"6401 Hollis St, Suite 100, Emeryville, CA 94608",Tier 2,Non-Profit/Research,Discovery Biology & Open Science Platform. Discovery biology + toolkits; computational/structural adjacent,
Ardelyx,https://www.ardelyx.com,Fremont,"34175 Ardenwood Blvd, Fremont, CA 94555",Tier 3,Commercial-Stage Biotech,Small-molecule therapeutics (GI/kidney). Structure-based drug design potential; pharma development alignment.,
ATUM,https://www.atum.bio,Newark,"37950 Central Court, Newark, CA 94560",Tier 1,Tools/Services/CDMO,Gene & protein design/synthesis; enzyme engineering. Core protein engineering & expression & purification workflows.,
Bayer,https://www.bayer.com,Berkeley,"800 Dwight Way, Berkeley, CA 94710",Tier 2,Large Pharma,Biologics & Cell & Gene Therapy & Manufacturing. Biologics & CGT; process/analytical development,
Bio-Rad Laboratories,https://www.bio-rad.com,Hercules,"1000 Alfred Nobel Drive, Hercules, CA 94547",Tier 3,Commercial-Stage Biotech,Life-science instruments & diagnostics. Protein analytics/tools used by structural biologists; product development roles.,
Bolt Threads,https://boltthreads.com,Emeryville,"5858 Horton Street, Emeryville, CA 94608",Tier 1,Commercial-Stage Biotech,Biomaterials; recombinant silk proteins. Fermentation scale protein expression & engineering.,
Caribou Biosciences,https://www.cariboubio.com,Berkeley,"2929 7th Street, Suite 105, Berkeley, CA 94710",Tier 1,Clinical-Stage Biotech,Next-Gen CRISPR Allogeneic Cell Therapies. Cas protein engineering & genome editing; strong structural biology links.,
Catalent,https://www.catalent.com,Emeryville,"5959 Horton St, Suite 400, Emeryville, CA 94608",Tier 2,Tools/Services/CDMO,Antibody-Drug Conjugates (ADCs) & Bioconjugation,
Catena Biosciences,https://www.catenabio.com,Berkeley,"820 Heinz Ave, Berkeley, CA 94710",Tier 1,Clinical-Stage Biotech,Protein conjugation therapeutics (ADCs). Engineered enzyme for site-specific conjugation; structural enzymology fit.,
CellFE,https://www.cellfe.com,Alameda,"Alameda, CA",Tier 2,Pre-clinical/Startup,Microfluidics for Intracellular Delivery,
Cerus Corporation,https://www.cerus.com,Concord,"1220 Concord Avenue, Concord, CA 94520",Tier 3,Commercial-Stage Biotech,Blood safety; pathogen inactivation. Biochemistry & immunology; product development & GMP.,
Joint Genome Institute,https://jgi.doe.gov,Berkeley,"1 Cyclotron Road, Berkeley, CA 94720",Tier 3,Academic/Gov't,Large-scale genomics; comp biology & sequencing,
Dynavax Technologies,https://www.dynavax.com,Emeryville,"2100 Powell St, Suite 720, Emeryville, CA 94608",Tier 3,Commercial-Stage Biotech,Vaccines & TLR Agonists & Immunology. Adjuvant biology; protein production for vaccine antigens.,
Eikon Therapeutics,https://www.eikontx.com,Hayward,"3929 Point Eden Way, Hayward, CA 94545",Tier 1,Clinical-Stage Biotech,Live-cell single-molecule imaging drug discovery. Protein dynamics & quantitative imaging; structural insights valuable.,
Eureka Therapeutics,https://www.eurekatherapeutics.com,Emeryville,"5858 Horton St, Suite 370, Emeryville, CA 94608",Tier 1,Clinical-Stage Biotech,T-Cell Therapies & Antibody Discovery & Structural Bio. T-cell therapies/antibody discovery; structural/biochem,
Exelixis,https://www.exelixis.com,Alameda,"1851 Harbor Bay Parkway, Alameda, CA 94502",Tier 2,Commercial-Stage Biotech,Oncology Drug Development (Small Molecule & Biologics). Oncology drug developer; small-molecule discovery/dev,
GeneFab,https://www.genefab.com,Alameda,"Alameda, CA",Tier 3,Tools/Services/CDMO,CRDMO for Cell & Gene Therapies,
Ginkgo Bioworks,https://www.ginkgobioworks.com,Emeryville,"5858 Horton Street, Suite 400, Emeryville, CA 94608",Tier 1,Commercial-Stage Biotech,High-Throughput Organism Engineering. High-throughput protein expression & computational design.,
Glyphic Biotechnologies,https://www.glyphicbio.com,Berkeley,"3100 San Pablo Avenue, Suite 201, Berkeley, CA 94702",Tier 1,Pre-clinical/Startup,Single-Molecule Protein Sequencing Platform,
Gritstone bio,https://www.gritstonebio.com,Emeryville,"5959 Horton St, Suite 300, Emeryville, CA 94608",Tier 2,Clinical-Stage Biotech,Immuno-oncology & AI-based Antigen Discovery. Immuno-oncology/infectious disease; AI + antigen discovery,
Indee Labs,https://www.indeelabs.com,Berkeley,"Berkeley, CA",Tier 2,Pre-clinical/Startup,Microfluidics for Intracellular Delivery,
Innovative Genomics Institute,https://innovativegenomics.org,Berkeley,"2151 Berkeley Way, Berkeley, CA 94720",Tier 1,Academic/Gov't,CRISPR/Genomics Research Institute. CRISPR/genomics institute; comp bio + translational,
Joint BioEnergy Institute,https://www.jbei.org,Emeryville,"5885 Hollis St, Emeryville, CA 94608",Tier 1,Academic/Gov't,Synthetic Biology & Biofuels & Process Scale-up. Synbio/enzymes; high-throughput strain/protein work,
Kimia Therapeutics,https://www.kimiatx.com,Berkeley,"Berkeley, CA",Tier 2,Pre-clinical/Startup,AI/ML Drug Discovery Platform,
Kyverna Therapeutics,https://www.kyvernatx.com,Emeryville,"5980 Horton Street, Suite 550, Emeryville, CA 94608",Tier 2,Clinical-Stage Biotech,Autoimmune cell therapy (CAR-Treg). Gene & protein engineering; translational cell therapy.,
Advanced Light Source,https://als.lbl.gov,Berkeley,"1 Cyclotron Rd, Berkeley, CA 94720",Tier 1,Academic/Gov't,Synchrotron for Structural Biology. Synchrotron for structural biology/imaging,
Lonza,https://www.lonza.com,Hayward,"21075 Alexander Court, Hayward, CA 94545",Tier 3,Tools/Services/CDMO,CDMO; biologics & CGT manufacturing. CDMO; biologics/cell & gene therapy manufacturing,
Lygos,https://www.lygos.com,Berkeley,"1249 8th Street, Berkeley, CA 94710",Tier 1,Commercial-Stage Biotech,Industrial biotech; enzyme engineering. Metabolic pathway & enzyme optimization; fermentation.,
Nanotein,https://www.nanotein.com,Berkeley,"2950 San Pablo Ave, Berkeley, CA 94702",Tier 1,Pre-clinical/Startup,Protein-based Reagents for Cell Therapy,
Novartis,https://www.novartis.com,Emeryville,"5959 Horton Street, Emeryville, CA 94608",Tier 2,Large Pharma,Infectious disease & global health R&D. Multidisciplinary drug discovery; potential structural biology roles.,
Nutcracker Therapeutics,https://www.nutcrackerx.com,Emeryville,"5858 Horton Street, Suite 540, Emeryville, CA 94608",Tier 2,Clinical-Stage Biotech,mRNA therapeutics platform. Protein/RNA engineering & automated GMP workflows.,
Ohmic Biosciences,https://www.ohmicbio.com,Alameda,"Alameda, CA",Tier 1,Pre-clinical/Startup,Protein Engineering for Crop Disease Resistance,
OmniAb,https://www.omniab.com,Emeryville,"Emeryville, CA",Tier 2,Tools/Services/CDMO,Transgenic Platforms for Antibody Discovery,
Phyllom BioProducts,https://www.phyllom.com,Oakland,"Oakland, CA",Tier 2,Commercial-Stage Biotech,Microbial Biopesticides & Protein Engineering,
Pivot Bio,https://www.pivotbio.com,Berkeley,"2910 7th St, Berkeley, CA 94710",Tier 1,Commercial-Stage Biotech,Engineered Microbes & Computational Protein Design. Engineered microbes; computational protein/genome design,
